iter	Passed	Remaining
0	135	135046
1	136	68019
2	137	45806
3	138	34557
4	139	27820
5	140	23278
6	141	20038
7	143	17784
8	145	16016
9	146	14549
10	148	13358
11	150	12366
12	151	11526
13	152	10769
14	154	10150
15	155	9585
16	157	9104
17	158	8670
18	160	8282
19	161	7933
20	163	7610
21	164	7309
22	165	7033
23	166	6779
24	167	6542
25	168	6327
26	170	6129
27	173	6011
28	174	5839
29	175	5675
30	176	5529
31	177	5381
32	178	5243
33	179	5113
34	181	4992
35	182	4880
36	183	4772
37	184	4668
38	187	4627
39	189	4539
40	190	4448
41	191	4361
42	192	4279
43	193	4200
44	194	4124
45	195	4052
46	196	3983
47	197	3916
48	198	3853
49	200	3801
50	201	3753
51	202	3698
52	204	3646
53	205	3600
54	207	3558
55	208	3515
56	210	3475
57	211	3432
58	212	3388
59	213	3350
60	217	3348
61	219	3314
62	220	3276
63	221	3238
64	222	3201
65	223	3166
66	224	3131
67	226	3100
68	227	3071
69	229	3048
70	231	3026
71	232	3001
72	234	2979
73	236	2958
74	238	2936
75	240	2917
76	241	2895
77	243	2876
78	247	2890
79	249	2869
80	251	2847
81	252	2826
82	253	2797
83	254	2776
84	255	2753
85	257	2734
86	258	2715
87	260	2702
88	262	2687
89	264	2672
90	266	2661
91	268	2646
92	269	2628
93	270	2611
94	272	2593
95	273	2575
96	275	2562
97	277	2549
98	278	2535
99	280	2524
100	282	2511
101	283	2499
102	285	2485
103	286	2470
104	287	2454
105	290	2450
106	292	2442
107	294	2430
108	295	2417
109	297	2405
110	299	2396
111	300	2383
112	301	2369
113	303	2356
114	309	2381
115	311	2371
116	312	2357
117	313	2346
118	315	2335
119	317	2325
120	318	2312
121	320	2304
122	321	2293
123	323	2281
124	324	2271
125	326	2262
126	327	2249
127	328	2237
128	329	2225
129	331	2217
130	332	2207
131	334	2199
132	336	2192
133	337	2183
134	339	2175
135	340	2164
136	341	2154
137	343	2144
138	344	2134
139	345	2123
140	346	2113
141	347	2100
142	349	2094
143	351	2088
144	352	2078
145	353	2069
146	355	2060
147	356	2052
148	357	2044
149	359	2035
150	360	2026
151	361	2018
152	363	2009
153	364	2004
154	366	1996
155	367	1988
156	368	1981
157	370	1973
158	372	1967
159	373	1960
160	374	1952
161	376	1945
162	377	1938
163	380	1938
164	382	1938
165	384	1932
166	386	1926
167	387	1919
168	389	1913
169	390	1906
170	392	1900
171	393	1895
172	395	1890
173	397	1885
174	398	1880
175	400	1874
176	401	1868
177	403	1862
178	404	1855
179	405	1848
180	408	1849
181	410	1844
182	412	1839
183	413	1834
184	414	1827
185	416	1821
186	417	1814
187	418	1807
188	419	1801
189	423	1804
190	424	1799
191	426	1793
192	427	1789
193	429	1783
194	430	1778
195	432	1772
196	433	1767
197	435	1762
198	436	1757
199	438	1752
200	439	1747
201	440	1741
202	442	1735
203	443	1729
204	444	1723
205	445	1717
206	446	1711
207	448	1706
208	449	1700
209	450	1695
210	452	1690
211	453	1686
212	454	1680
213	456	1675
214	457	1669
215	458	1664
216	459	1658
217	460	1652
218	461	1647
219	462	1641
220	464	1635
221	465	1630
222	466	1626
223	468	1622
224	469	1616
225	470	1611
226	471	1606
227	473	1601
228	474	1596
229	475	1593
230	478	1592
231	479	1588
232	481	1584
233	482	1579
234	483	1575
235	485	1571
236	486	1567
237	488	1562
238	489	1559
239	492	1559
240	494	1556
241	495	1552
242	497	1549
243	499	1546
244	500	1543
245	502	1540
246	504	1537
247	505	1534
248	507	1531
249	509	1527
250	510	1524
251	512	1520
252	514	1517
253	515	1514
254	517	1511
255	518	1507
256	520	1506
257	523	1505
258	524	1501
259	526	1497
260	527	1494
261	529	1490
262	530	1486
263	531	1482
264	533	1479
265	534	1475
266	537	1476
267	539	1473
268	540	1469
269	542	1465
270	543	1461
271	544	1458
272	546	1455
273	547	1451
274	549	1448
275	551	1446
276	553	1443
277	555	1442
278	557	1441
279	560	1440
280	562	1438
281	564	1436
282	566	1435
283	569	1434
284	571	1432
285	574	1433
286	576	1431
287	579	1431
288	581	1431
289	584	1430
290	586	1429
291	588	1427
292	590	1425
293	596	1432
294	599	1433
295	602	1432
296	604	1430
297	606	1429
298	612	1436
299	615	1436
300	618	1435
301	620	1433
302	623	1435
303	627	1436
304	629	1435
305	632	1433
306	634	1433
307	637	1432
308	640	1432
309	642	1430
310	645	1429
311	647	1427
312	648	1424
313	651	1422
314	653	1420
315	660	1429
316	662	1427
317	665	1426
318	667	1424
319	669	1423
320	672	1421
321	674	1420
322	676	1417
323	678	1415
324	680	1413
325	682	1411
326	685	1410
327	688	1410
328	690	1408
329	692	1405
330	693	1402
331	695	1399
332	697	1396
333	699	1393
334	700	1391
335	702	1388
336	704	1385
337	705	1381
338	707	1378
339	708	1375
340	710	1372
341	711	1368
342	713	1367
343	715	1364
344	716	1361
345	718	1358
346	719	1354
347	720	1350
348	722	1347
349	723	1343
350	724	1339
351	725	1335
352	726	1332
353	733	1338
354	735	1335
355	736	1332
356	737	1329
357	739	1326
358	740	1322
359	742	1320
360	744	1317
361	745	1314
362	747	1311
363	748	1307
364	749	1304
365	750	1300
366	752	1297
367	753	1293
368	754	1290
369	755	1286
370	757	1283
371	760	1283
372	762	1281
373	764	1279
374	765	1276
375	766	1272
376	768	1269
377	769	1265
378	770	1262
379	771	1258
380	774	1258
381	776	1255
382	777	1253
383	779	1250
384	781	1248
385	782	1245
386	784	1242
387	785	1238
388	786	1235
389	788	1233
390	789	1230
391	791	1227
392	792	1223
393	793	1220
394	794	1217
395	795	1213
396	796	1210
397	798	1207
398	799	1203
399	800	1200
400	801	1197
401	804	1196
402	805	1193
403	806	1190
404	808	1187
405	809	1184
406	810	1181
407	811	1177
408	812	1174
409	813	1171
410	815	1168
411	816	1164
412	817	1162
413	819	1159
414	820	1156
415	821	1153
416	823	1150
417	824	1147
418	825	1144
419	826	1141
420	827	1138
421	829	1135
422	830	1132
423	831	1129
424	833	1127
425	834	1124
426	836	1121
427	837	1118
428	838	1115
429	839	1112
430	840	1109
431	841	1106
432	843	1104
433	844	1101
434	846	1099
435	850	1099
436	851	1096
437	853	1094
438	854	1092
439	856	1089
440	857	1087
441	859	1084
442	860	1081
443	862	1080
444	864	1077
445	865	1075
446	867	1073
447	869	1070
448	870	1068
449	872	1066
450	874	1064
451	875	1061
452	879	1061
453	881	1059
454	882	1057
455	884	1055
456	886	1053
457	887	1050
458	889	1048
459	890	1045
460	894	1045
461	896	1043
462	898	1041
463	900	1039
464	901	1037
465	903	1035
466	905	1033
467	907	1032
468	910	1030
469	912	1028
470	913	1026
471	915	1024
472	917	1022
473	919	1020
474	921	1018
475	924	1017
476	926	1016
477	928	1013
478	930	1011
479	931	1009
480	933	1007
481	935	1005
482	937	1003
483	939	1001
484	941	999
485	942	997
486	944	994
487	946	992
488	947	990
489	949	988
490	951	986
491	953	984
492	955	982
493	956	980
494	958	977
495	960	975
496	961	973
497	962	970
498	964	968
499	966	966
500	980	976
501	981	974
502	983	971
503	984	969
504	986	966
505	987	964
506	988	961
507	989	958
508	991	956
509	992	953
510	993	950
511	994	948
512	996	945
513	999	944
514	1000	941
515	1001	939
516	1002	936
517	1003	933
518	1004	931
519	1005	928
520	1007	926
521	1008	923
522	1010	921
523	1012	919
524	1013	917
525	1015	915
526	1016	912
527	1018	910
528	1019	907
529	1021	905
530	1022	903
531	1024	901
532	1026	899
533	1028	897
534	1030	895
535	1033	894
536	1035	892
537	1036	890
538	1038	888
539	1040	886
540	1044	886
541	1046	884
542	1048	882
543	1050	880
544	1052	878
545	1054	876
546	1056	874
547	1058	873
548	1060	871
549	1062	869
550	1064	867
551	1066	865
552	1068	863
553	1070	861
554	1075	862
555	1077	860
556	1079	858
557	1081	856
558	1082	854
559	1084	852
560	1086	849
561	1088	848
562	1090	846
563	1092	844
564	1094	842
565	1096	840
566	1098	839
567	1100	837
568	1103	835
569	1105	834
570	1107	832
571	1109	830
572	1112	828
573	1113	826
574	1115	824
575	1117	822
576	1119	820
577	1121	818
578	1123	816
579	1124	814
580	1126	812
581	1127	809
582	1128	807
583	1130	805
584	1135	805
585	1137	803
586	1138	801
587	1140	798
588	1141	796
589	1142	794
590	1144	791
591	1145	789
592	1147	787
593	1148	785
594	1150	782
595	1151	780
596	1152	778
597	1154	776
598	1155	773
599	1156	771
600	1157	768
601	1159	766
602	1160	763
603	1163	763
604	1165	760
605	1166	758
606	1167	756
607	1169	753
608	1170	751
609	1171	749
610	1173	746
611	1174	744
612	1175	742
613	1177	740
614	1178	738
615	1180	735
616	1181	733
617	1183	731
618	1184	729
619	1185	726
620	1187	724
621	1188	722
622	1189	719
623	1192	718
624	1194	716
625	1195	714
626	1197	712
627	1198	709
628	1199	707
629	1200	705
630	1201	702
631	1202	700
632	1204	698
633	1205	695
634	1207	694
635	1208	691
636	1210	689
637	1211	687
638	1212	685
639	1214	682
640	1215	680
641	1216	678
642	1217	676
643	1218	673
644	1220	671
645	1221	669
646	1223	667
647	1224	665
648	1225	662
649	1226	660
650	1228	658
651	1229	656
652	1231	654
653	1232	651
654	1233	649
655	1234	647
656	1237	646
657	1238	643
658	1240	641
659	1241	639
660	1242	637
661	1243	635
662	1245	632
663	1246	630
664	1247	628
665	1248	626
666	1251	624
667	1252	622
668	1254	620
669	1255	618
670	1256	616
671	1257	613
672	1258	611
673	1260	609
674	1261	607
675	1262	605
676	1263	602
677	1265	600
678	1266	598
679	1267	596
680	1268	594
681	1270	592
682	1271	590
683	1272	587
684	1273	585
685	1274	583
686	1275	581
687	1277	579
688	1278	576
689	1281	575
690	1282	573
691	1283	571
692	1285	569
693	1286	567
694	1287	564
695	1288	562
696	1290	560
697	1291	558
698	1292	556
699	1293	554
700	1295	552
701	1297	550
702	1298	548
703	1299	546
704	1300	544
705	1301	542
706	1303	540
707	1304	537
708	1305	535
709	1306	533
710	1307	531
711	1309	529
712	1312	528
713	1313	526
714	1314	524
715	1316	522
716	1318	520
717	1319	518
718	1320	516
719	1322	514
720	1323	512
721	1326	510
722	1328	508
723	1329	506
724	1330	504
725	1332	502
726	1334	500
727	1335	499
728	1337	497
729	1338	495
730	1340	493
731	1341	491
732	1343	489
733	1344	487
734	1345	485
735	1347	483
736	1348	481
737	1349	479
738	1350	477
739	1352	475
740	1353	473
741	1356	471
742	1357	469
743	1359	467
744	1360	465
745	1361	463
746	1362	461
747	1364	459
748	1365	457
749	1366	455
750	1367	453
751	1368	451
752	1370	449
753	1372	447
754	1373	445
755	1375	443
756	1376	441
757	1377	439
758	1378	437
759	1379	435
760	1381	433
761	1382	431
762	1383	429
763	1385	427
764	1386	426
765	1388	424
766	1389	422
767	1390	420
768	1391	418
769	1392	416
770	1394	414
771	1395	412
772	1396	410
773	1397	407
774	1398	406
775	1400	404
776	1401	402
777	1402	400
778	1404	398
779	1405	396
780	1406	394
781	1407	392
782	1408	390
783	1409	388
784	1411	386
785	1412	384
786	1413	382
787	1414	380
788	1416	378
789	1417	376
790	1418	374
791	1419	372
792	1421	370
793	1422	368
794	1423	367
795	1424	365
796	1425	363
797	1426	361
798	1427	359
799	1429	357
800	1431	355
801	1433	353
802	1434	351
803	1435	349
804	1437	348
805	1438	346
806	1439	344
807	1440	342
808	1441	340
809	1443	338
810	1448	337
811	1450	335
812	1451	333
813	1453	332
814	1454	330
815	1455	328
816	1457	326
817	1458	324
818	1460	322
819	1461	320
820	1463	318
821	1464	317
822	1465	315
823	1466	313
824	1468	311
825	1469	309
826	1470	307
827	1472	305
828	1474	304
829	1475	302
830	1476	300
831	1477	298
832	1479	296
833	1481	294
834	1482	292
835	1483	291
836	1485	289
837	1486	287
838	1488	285
839	1490	283
840	1491	282
841	1492	280
842	1494	278
843	1495	276
844	1497	274
845	1498	272
846	1499	270
847	1501	269
848	1502	267
849	1503	265
850	1505	263
851	1506	261
852	1507	259
853	1508	257
854	1510	256
855	1511	254
856	1512	252
857	1514	250
858	1515	248
859	1516	246
860	1517	245
861	1522	243
862	1524	241
863	1525	240
864	1526	238
865	1528	236
866	1530	234
867	1531	232
868	1532	231
869	1533	229
870	1535	227
871	1536	225
872	1537	223
873	1539	221
874	1540	220
875	1542	218
876	1543	216
877	1544	214
878	1545	212
879	1546	210
880	1550	209
881	1551	207
882	1553	205
883	1554	203
884	1556	202
885	1557	200
886	1559	198
887	1560	196
888	1561	195
889	1564	193
890	1566	191
891	1568	189
892	1569	188
893	1571	186
894	1572	184
895	1573	182
896	1574	180
897	1576	179
898	1577	177
899	1578	175
900	1580	173
901	1581	171
902	1582	170
903	1584	168
904	1585	166
905	1587	164
906	1588	162
907	1589	161
908	1590	159
909	1591	157
910	1593	155
911	1595	153
912	1596	152
913	1597	150
914	1599	148
915	1600	146
916	1601	144
917	1602	143
918	1603	141
919	1605	139
920	1606	137
921	1607	135
922	1610	134
923	1611	132
924	1613	130
925	1614	129
926	1616	127
927	1617	125
928	1619	123
929	1620	121
930	1621	120
931	1622	118
932	1624	116
933	1626	114
934	1628	113
935	1629	111
936	1631	109
937	1633	107
938	1634	106
939	1635	104
940	1637	102
941	1639	100
942	1641	99
943	1642	97
944	1644	95
945	1645	93
946	1646	92
947	1647	90
948	1649	88
949	1650	86
950	1651	85
951	1653	83
952	1654	81
953	1656	79
954	1657	78
955	1658	76
956	1659	74
957	1660	72
958	1662	71
959	1663	69
960	1664	67
961	1665	65
962	1666	64
963	1669	62
964	1670	60
965	1671	58
966	1672	57
967	1674	55
968	1675	53
969	1676	51
970	1677	50
971	1678	48
972	1679	46
973	1680	44
974	1682	43
975	1685	41
976	1686	39
977	1687	37
978	1689	36
979	1690	34
980	1691	32
981	1692	31
982	1693	29
983	1694	27
984	1696	25
985	1697	24
986	1699	22
987	1700	20
988	1702	18
989	1703	17
990	1704	15
991	1705	13
992	1706	12
993	1708	10
994	1709	8
995	1710	6
996	1711	5
997	1715	3
998	1716	1
999	1718	0
