iter	Passed	Remaining
0	1	141
1	2	123
2	3	115
3	4	109
4	5	108
5	6	106
6	7	104
7	8	102
8	10	101
9	11	100
10	12	99
11	13	99
12	14	99
13	15	98
14	17	96
15	18	97
16	20	99
17	21	99
18	23	98
19	24	97
20	25	96
21	26	95
22	28	95
23	33	104
24	34	102
25	35	100
26	36	99
27	37	97
28	38	95
29	40	93
30	41	91
31	42	90
32	43	88
33	44	87
34	46	85
35	47	84
36	48	83
37	49	81
38	51	80
39	52	78
40	53	77
41	54	74
42	55	73
43	56	71
44	57	70
45	58	69
46	60	68
47	61	66
48	62	65
49	64	64
50	65	63
51	67	61
52	68	60
53	69	59
54	70	57
55	71	56
56	72	54
57	73	53
58	75	52
59	76	50
60	77	49
61	78	48
62	80	46
63	81	45
64	82	44
65	83	43
66	85	41
67	86	40
68	87	39
69	89	38
70	90	36
71	91	35
72	92	34
73	94	33
74	95	31
75	96	30
76	98	29
77	99	28
78	100	26
79	102	25
80	103	24
81	104	22
82	105	21
83	106	20
84	108	19
85	109	17
86	110	16
87	112	15
88	113	14
89	114	12
90	116	11
91	117	10
92	118	8
93	120	7
94	121	6
95	122	5
96	123	3
97	124	2
98	126	1
99	127	0
